"","country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery","address","lat","long","description2"
"1","Portugal","This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.","Avidagos",87,15,"Douro","","","Roger Voss","@vossroger","Quinta dos Avidagos 2011 Avidagos Red (Douro)","Portuguese Red","Quinta dos Avidagos",", Douro, Portugal",41.5120194,-5.4922548,"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016. Portuguese Red Portugal Douro  Quinta dos Avidagos"
"2","US","Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.","",87,14,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Rainstorm 2013 Pinot Gris (Willamette Valley)","Pinot Gris","Rainstorm","Willamette Valley, Oregon, US",44.942554,-122.9337615,"Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented. Pinot Gris US Oregon Willamette Valley Rainstorm"
"3","US","Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.","Reserve Late Harvest",87,13,"Michigan","Lake Michigan Shore","","Alexander Peartree","","St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)","Riesling","St. Julian","Lake Michigan Shore, Michigan, US",44.3237141,-84.6477829,"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish. Riesling US Michigan Lake Michigan Shore St. Julian"
"4","US","Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.","Vintner's Reserve Wild Child Block",87,65,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)","Pinot Noir","Sweet Cheeks","Willamette Valley, Oregon, US",44.942554,-122.9337615,"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew. Pinot Noir US Oregon Willamette Valley Sweet Cheeks"
"5","Italy","Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.","Belsito",87,16,"Sicily & Sardinia","Vittoria","","Kerin O’Keefe","@kerinokeefe","Terre di Giurfo 2013 Belsito Frappato (Vittoria)","Frappato","Terre di Giurfo","Vittoria, Sicily & Sardinia, Italy",36.9520998,14.5372653,"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins. Frappato Italy Sicily & Sardinia Vittoria Terre di Giurfo"
"6","France","This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.","",87,24,"Alsace","Alsace","","Roger Voss","@vossroger","Trimbach 2012 Gewurztraminer (Alsace)","Gewürztraminer","Trimbach","Alsace, Alsace, France",48.3181795,7.4416241,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food. Gewürztraminer France Alsace Alsace Trimbach"
"7","Germany","Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.","Shine",87,12,"Rheinhessen","","","Anna Lee C. Iijima","","Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)","Gewürztraminer","Heinz Eifel",", Rheinhessen, Germany",49.8935328,8.0850303,"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint. Gewürztraminer Germany Rheinhessen  Heinz Eifel"
"8","France","This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.","Les Natures",87,27,"Alsace","Alsace","","Roger Voss","@vossroger","Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)","Pinot Gris","Jean-Baptiste Adam","Alsace, Alsace, France",48.3181795,7.4416241,"This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now. Pinot Gris France Alsace Alsace Jean-Baptiste Adam"
"9","US","Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.","Mountain Cuvée",87,19,"California","Napa Valley","Napa","Virginie Boone","@vboone","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Kirkland Signature","Napa Valley, California, US",38.5024689,-122.2653887,"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility. Cabernet Sauvignon US California Napa Valley Kirkland Signature"
"10","France","This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.","",87,30,"Alsace","Alsace","","Roger Voss","@vossroger","Leon Beyer 2012 Gewurztraminer (Alsace)","Gewürztraminer","Leon Beyer","Alsace, Alsace, France",48.3181795,7.4416241,"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste. Gewürztraminer France Alsace Alsace Leon Beyer"
