"","lat","long","accuracy","formatted_address","address_type","status","index"
"1",37.751005,14.9934349,"establishment","Mt Etna, 95031 Adrano, Province of Catania, Italy","establishment,natural_feature","OK",1
"2",41.5120194,-5.4922548,"establishment","Douro River","establishment,natural_feature","OK",2
"3",44.942554,-122.9337615,"establishment","Willamette Valley, Oregon, USA","establishment,natural_feature","OK",3
"4",44.3237141,-84.6477829,"route","Shore Ave, Houghton Lake, MI 48629, USA","route","OK",4
"6",NA,NA,NA,NA,NA,"ZERO_RESULTS",5
"7",36.9520998,14.5372653,"locality","97019 Vittoria, Province of Ragusa, Italy","locality,political","OK",6
"8",48.3181795,7.4416241,"colloquial_area","Alsace, France","colloquial_area,political","OK",7
"9",49.8935328,8.0850303,"locality","Jugenheim in Rheinhessen, Germany","locality,political","OK",8
"10",38.5024689,-122.2653887,"administrative_area_level_2","Napa County, CA, USA","administrative_area_level_2,political","OK",9
"11",38.6129647,-122.7694345,"establishment","Alexander Valley, California 95448, USA","establishment,natural_feature","OK",10
"12",36.691415,-119.4691728,"route","Central, Sanger, CA 93657, USA","route","OK",11
"13",49.1169679,6.7399173,"establishment","Moselle","establishment,natural_feature","OK",12
"14",-26.0834638,-65.9756201,"bar","RN40 Km. 4340, 4427 Cafayate, Salta, Argentina","bar,establishment,food,point_of_interest,restaurant,spa,travel_agency","OK",13
"15",-32.8894587,-68.8458386,"locality","Mendoza, Capital Department, Mendoza Province, Argentina","locality,political","OK",14
"16",41.5120194,-5.4922548,"establishment","Douro River","establishment,natural_feature","OK",15
"17",37.4315734,-78.6568942,"administrative_area_level_1","Virginia, USA","administrative_area_level_1,political","OK",16
"18",43.8041334,-120.5542012,"administrative_area_level_1","Oregon, USA","administrative_area_level_1,political","OK",17
"19",37.5999938,14.0153557,"administrative_area_level_1","Sicily, Italy","administrative_area_level_1,political","OK",18
"20",35.6368759,-120.6545022,"locality","Paso Robles, CA 93446, USA","locality,political","OK",19
"21",38.291859,-122.4580356,"locality","Sonoma, CA 95476, USA","locality,political","OK",20
"22",NA,NA,NA,NA,NA,"ZERO_RESULTS",21
"23",36.9728095,14.5516064,"route","Via del Cerasuolo di Vittoria, 97019 Vittoria RG, Italy","route","OK",22
"24",38.4198403,-121.5294026,"locality","Clarksburg, CA 95612, USA","locality,political","OK",23
"25",NA,NA,NA,NA,NA,"ZERO_RESULTS",24
"26",33.7555087,-117.7524061,"route","Dry Creek, Irvine, CA 92602, USA","route","OK",25
"27",38.5779555,-122.9888319,"administrative_area_level_2","Sonoma County, CA, USA","administrative_area_level_2,political","OK",26
"28",45.2101162,-123.1987163,"locality","McMinnville, OR 97128, USA","locality,political","OK",27
"29",-33.3842305,-70.6696712,"route","Colchagua, Conchalí, Región Metropolitana, Chile","route","OK",28
"30",40.7928393,17.1011931,"administrative_area_level_1","Apulia, Italy","administrative_area_level_1,political","OK",29
"31",46.118725,4.615449,"locality","69430 Quincié-en-Beaujolais, France","locality,political","OK",30
"32",-33.4662012,-70.638005,"route","Maule, Santiago, Región Metropolitana, Chile","route","OK",31
"33",39.0839644,-122.8084496,"administrative_area_level_2","Lake County, CA, USA","administrative_area_level_2,political","OK",32
"34",38.0086043,-78.4531994,"establishment","931 Thomas Jefferson Pkwy, Charlottesville, VA 22902, USA","establishment,point_of_interest","OK",33
"35",46.105356,4.647113,"political","Brouilly, 69460 Odenas, France","political,sublocality,sublocality_level_1","OK",34
"36",NA,NA,NA,NA,NA,"ZERO_RESULTS",35
"37",44.8907958,-0.503366,"route","Avenue de Bordeaux, 33560 Carbon-Blanc, France","route","OK",36
"38",38.0192523,-122.8631254,"colloquial_area","North Coast, CA, USA","colloquial_area,political","OK",37
"39",-33.4072644,-70.6390583,"route","Maipo, Recoleta, Región Metropolitana, Chile","route","OK",38
"40",47.4523058,-120.822886,"establishment","Columbia River","establishment,natural_feature","OK",39
"41",45.4734243,9.2235197,"route","Viale Romagna, Milano MI, Italy","route","OK",40
"42",48.9168895,4.1514325,"colloquial_area","Champagne, France","colloquial_area,political","OK",41
"43",34.5841542,-120.0973685,"establishment","Santa Ynez Valley, California 93460, USA","establishment,natural_feature","OK",42
"44",47.815269,3.800451,"locality","89800 Chablis, France","locality,political","OK",43
"45",46.352288,4.705395,"route","Voie Verte (Chalon-sur-Saône - Mâcon), Milly-Lamartine, France","route","OK",44
"46",36.778261,-119.4179324,"administrative_area_level_1","California, USA","administrative_area_level_1,political","OK",45
"47",NA,NA,NA,NA,NA,"ZERO_RESULTS",46
"48",38.58139,-122.45,"locality","Howell Mountain, CA 94508, USA","locality,political","OK",47
"49",38.5787965,-122.5797054,"locality","Calistoga, CA 94515, USA","locality,political","OK",48
"50",-30.0002315,136.2091547,"administrative_area_level_1","South Australia, Australia","administrative_area_level_1,political","OK",49
"51",45.1312282,-123.1637138,"establishment","Amity Hills, Oregon 97101, USA","establishment,natural_feature","OK",50
"52",39.722226,-5.5119887,"establishment","Tagus","establishment,natural_feature","OK",51
"53",-33.3745902,-70.6702698,"route","Rapel, Conchalí, Región Metropolitana, Chile","route","OK",52
"54",42.4270967,-8.8142264,"colloquial_area","Rías Baixas, Spain","colloquial_area,political","OK",53
"55",38.6213413,-90.2129555,"bar","2017 Chouteau Ave, St. Louis, MO 63103, USA","bar,establishment,food,point_of_interest,restaurant","OK",54
"56",-35.2210309,138.5461247,"locality","McLaren Vale SA 5171, Australia","locality,political","OK",55
"57",47.1518811,-119.9223654,"establishment","Ancient Lakes Trailhead, Quincy, WA 98848, USA","establishment,park,point_of_interest","OK",56
"58",39.2049824,-121.0232517,"route","Knights Ct, Grass Valley, CA 95945, USA","route","OK",57
"59",43.4688988,11.0216314,"establishment","Località Santa Margherita, 34, 53037 San Gimignano SI, Italy","establishment,food,point_of_interest","OK",58
"60",43.7710513,11.2486208,"administrative_area_level_1","Tuscany, Italy","administrative_area_level_1,political","OK",59
"61",38.5779555,-122.9888319,"administrative_area_level_2","Sonoma County, CA, USA","administrative_area_level_2,political","OK",60
"62",47.1537165,16.2688797,"administrative_area_level_1","Burgenland, Austria","administrative_area_level_1,political","OK",61
"63",46.235505,4.709971,"locality","69840 Juliénas, France","locality,political","OK",62
"64",46.136803,4.64105,"locality","69430 Régnié-Durette, France","locality,political","OK",63
"65",42.7238165,-76.9297247,"colloquial_area","Finger Lakes, NY, USA","colloquial_area,political","OK",64
"66",42.691557,11.325663,"establishment","Località Saragiolo, 58054 Scansano GR, Italy","establishment,food,liquor_store,point_of_interest,store","OK",65
"67",-33.4952036,-70.7636066,"route","Leyda, Maipú, Región Metropolitana, Chile","route","OK",66
"68",37.2488478,-121.8399593,"establishment","Santa Clara Valley, San Jose, CA 95123, USA","establishment,natural_feature","OK",67
"69",38.4015781,-122.3608105,"locality","Yountville, CA 94599, USA","locality,political","OK",68
"70",44.6088032,7.9403041,"locality","12060 Barolo CN, Italy","locality,political","OK",69
"71",35.2166621,-118.788075,"route","Rockpile Rd, Arvin, CA 93203, USA","route","OK",70
"72",-36.6270289,140.433893,"locality","Padthaway SA 5271, Australia","locality,political","OK",71
"73",-33.9321045,18.860152,"locality","Stellenbosch, South Africa","locality,political","OK",72
"74",-33.931612,18.870009,"establishment","Simonsberg Manskoshuis, Merriman Ave, Stellenbosch Central, Stellenbosch, 7599, South Africa","establishment,point_of_interest","OK",73
"75",44.8401967,-0.5744919,"establishment","43 Rue Sainte-Catherine, 33000 Bordeaux, France","establishment,lodging,point_of_interest","OK",74
"76",-34.4878561,19.3720717,"establishment","Walker Bay Nature Reserve, 16 17th ave, Walker Bay, Hermanus, 7200, South Africa","establishment,park,point_of_interest","OK",75
"77",44.684189,8.0049344,"establishment","Corso Barolo, 14, 12051 Alba CN, Italy","establishment,food,point_of_interest","OK",76
"78",36.4307709,-121.4203754,"establishment","33820 River Rd, Soledad, CA 93960, USA","establishment,food,point_of_interest","OK",77
"79",37.4133977,-122.0831673,"route","Spring St, Mountain View, CA 94043, USA","route","OK",78
"80",36.6002378,-121.8946761,"locality","Monterey, CA, USA","locality,political","OK",79
"81",38.3341493,-8.0038406,"locality","7090 Viana do Alentejo, Portugal","locality,political","OK",80
"82",36.4799024,-121.7327931,"locality","Carmel Valley, CA 93924, USA","locality,political","OK",81
"83",NA,NA,NA,NA,NA,"ZERO_RESULTS",82
"84",37.1108921,-121.8448906,"establishment","Santa Cruz Mountains, California 95037, USA","establishment,natural_feature","OK",83
"85",43.3928073,11.3089636,"route","Via del Chianti Classico, Quercegrossa SI, Italy","route","OK",84
"86",42.967171,11.437808,"establishment","Via Giuncheti, 53024 Montalcino SI, Italy","establishment,food,liquor_store,point_of_interest,store","OK",85
"87",44.4475229,1.441989,"locality","46000 Cahors, France","locality,political","OK",86
"88",35.2168996,-120.6077553,"establishment","2585 Biddle Ranch Rd, San Luis Obispo, CA 93401, USA","establishment,food,liquor_store,point_of_interest,store","OK",87
"89",46.070956,4.6329209,"route","Moulin À Vent, 69460 Saint-Étienne-la-Varenne, France","route","OK",88
"90",-33.4586627,-70.6524488,"route","Aconcagua, Santiago, Región Metropolitana, Chile","route","OK",89
"91",43.549639,-0.057621,"locality","65700 Madiran, France","locality,political","OK",90
"92",38.9116325,-123.0110483,"establishment","Russian River, California, USA","establishment,natural_feature","OK",91
"93",-35.6761961,-71.7439129,"locality","Villa Alegre, Maule Region, Chile","locality,political","OK",92
"94",-41.57269,173.4216613,"administrative_area_level_2","Marlborough District, Marlborough, New Zealand","administrative_area_level_2,political","OK",93
"95",41.914988,12.4668885,"route","Via Luigi Settembrini, 00195 Roma RM, Italy","route","OK",94
"96",36.9639606,-122.0514933,"route","Arroyo Seco, Santa Cruz, CA 95060, USA","route","OK",95
"97",NA,NA,NA,NA,NA,"ZERO_RESULTS",96
"98",39.0865657,-123.4794542,"establishment","Anderson Valley, California 95466, USA","establishment,natural_feature","OK",97
"99",-33.4945909,-70.5784644,"route","Casablanca, Penalolen, Peñalolén, Región Metropolitana, Chile","route","OK",98
"100",41.1099473,14.8475139,"administrative_area_level_1","Campania, Italy","administrative_area_level_1,political","OK",99
"101",45.4437804,10.9800636,"route","Via Rosso, 37123 Verona VR, Italy","route","OK",100
"102",46.998258,4.708748,"locality","21190 Saint-Romain, France","locality,political","OK",101
"103",43.093002,11.781014,"establishment","Piazza Grande, 7, 53045 Montepulciano SI, Italy","establishment,point_of_interest,travel_agency","OK",102
"104",-33.2277918,21.8568586,"administrative_area_level_1","Western Cape, South Africa","administrative_area_level_1,political","OK",103
"105",39.1346666,-121.1710389,"administrative_area_level_2","Nevada County, CA, USA","administrative_area_level_2,political","OK",104
"106",31.6666667,35.1666667,"establishment","Har Yehuda","establishment,natural_feature","OK",105
"107",40.3133521,-7.8007077,"neighborhood","Alentejo, 3400 Oliveira do Hospital, Portugal","neighborhood,political","OK",106
"108",13.2229202,-16.5819789,"administrative_area_level_1","West Coast Region, The Gambia","administrative_area_level_1,political","OK",107
"109",45.466861,4.8976656,"route","La France, 38138 Les Côtes-d'Arey, France","route","OK",108
"110",NA,NA,NA,NA,NA,"ZERO_RESULTS",109
"111",NA,NA,NA,NA,NA,"ZERO_RESULTS",110
"112",32.795859,35.530973,"locality","Tiberias, Israel","locality,political","OK",111
"113",NA,NA,NA,NA,NA,"ZERO_RESULTS",112
"114",48.1172148,21.4089015,"locality","Tokaj, 3910 Hungary","locality,political","OK",113
"115",-33.0391038,-68.8798644,"locality","Luján de Cuyo, Mendoza Province, Argentina","locality,political","OK",114
"116",42.6776693,-76.6990172,"establishment","Cayuga Lake, New York, USA","establishment,natural_feature","OK",115
"117",NA,NA,NA,NA,NA,"ZERO_RESULTS",116
"118",34.4208321,-119.6982057,"administrative_area_level_2","Santa Barbara County, CA, USA","administrative_area_level_2,political","OK",117
"119",38.5550719,-122.574452,"route","Diamond Mountain Rd, Calistoga, CA 94515, USA","route","OK",118
"120",45.4662056,9.1906947,"route","Via Tommaso Marino, 20121 Milano MI, Italy","route","OK",119
"121",39.3076744,-123.7994591,"locality","Mendocino, CA, USA","locality,political","OK",120
"122",NA,NA,NA,NA,NA,"ZERO_RESULTS",121
"123",41.59491,-4.575127,"bar","Carretera de Villabañez Km1, 47320 Tudela de Duero, Valladolid, Spain","bar,establishment,food,point_of_interest","OK",122
"124",NA,NA,NA,NA,NA,"ZERO_RESULTS",123
"125",-34.9062557,138.8397403,"administrative_area_level_2","Adelaide Hills, SA, Australia","administrative_area_level_2,political","OK",124
"126",38.3229698,-122.5749837,"establishment","Sonoma Mountain, California 94954, USA","establishment,natural_feature","OK",125
"127",38.3488921,-120.7740931,"administrative_area_level_2","Amador County, CA, USA","administrative_area_level_2,political","OK",126
"128",38.5052429,-122.4703868,"locality","St Helena, CA 94574, USA","locality,political","OK",127
"129",38.9600424,-121.0467824,"route","Cole Ranch Rd, Auburn, CA 95602, USA","route","OK",128
"130",-32.8896247,-68.8526867,"administrative_area_level_1","Mendoza Province, Argentina","administrative_area_level_1,political","OK",129
"131",34.4208305,-119.6981901,"locality","Santa Barbara, CA, USA","locality,political","OK",130
"132",NA,NA,NA,NA,NA,"ZERO_RESULTS",131
"133",45.7623333,11.690976,"administrative_area_level_1","Veneto, Italy","administrative_area_level_1,political","OK",132
"134",47.9666667,16.6666667,"establishment","莱塔山2453, Austria","establishment,natural_feature","OK",133
"135",NA,NA,NA,NA,NA,"ZERO_RESULTS",134
"136",36.3931562,25.4615092,"establishment","Santorini, Greece","establishment,natural_feature","OK",135
"137",-33.5806991,-69.1971443,"establishment","Tunuyán, Mendoza Province, Argentina","establishment,point_of_interest","OK",136
"138",44.8175587,8.7046627,"colloquial_area","Montferrat, Italy","colloquial_area,political","OK",137
"139",47.9271368,14.080665,"locality","4565 Inzersdorf im Kremstal, Austria","locality,political","OK",138
"140",37.5134853,-77.4707131,"route","Dundee Ave, Richmond, VA 23225, USA","route","OK",139
"141",-33.0764292,-68.8868944,"locality","Perdriel, Mendoza, Argentina","locality,political","OK",140
"142",35.1443363,-120.543623,"establishment","Arroyo Grande Valley, California 93420, USA","establishment,natural_feature","OK",141
"143",41.265391,0.9050659,"locality","43360 Cornudella de Montsant, Tarragona, Spain","locality,political","OK",142
"144",44.8195931,-0.6007912,"route","Square Saint-Estèphe, 33000 Bordeaux, France","route","OK",143
"145",NA,NA,NA,NA,NA,"ZERO_RESULTS",144
"146",NA,NA,NA,NA,NA,"ZERO_RESULTS",145
"147",-34.5333333,138.95,"establishment","Barossa Valley, Tanunda SA 5352, Australia","establishment,natural_feature","OK",146
"148",-33.3728036,-69.1475583,"locality","Tupungato, Mendoza, Argentina","locality,political","OK",147
"149",44.489937,7.9768123,"locality","12060 Belvedere Langhe CN, Italy","locality,political","OK",148
"150",44.7792692,7.9384998,"locality","12040 Monteu Roero CN, Italy","locality,political","OK",149
"151",NA,NA,NA,NA,NA,"ZERO_RESULTS",150
"152",39.5500194,-123.438353,"administrative_area_level_2","Mendocino County, CA, USA","administrative_area_level_2,political","OK",151
"153",45.8011607,21.5119138,"locality","Recaș, Romania","locality,political","OK",152
"154",47.0831185,4.9145067,"establishment","15 Place de la Mairie, 21700 Corgoloin, France","establishment,food,point_of_interest","OK",153
"155",-39.1089867,176.7416374,"administrative_area_level_1","Hawke's Bay, New Zealand","administrative_area_level_1,political","OK",154
"156",45.896952,11.989227,"establishment","Via Col de Rove, 2, 31049 Valdobbiadene TV, Italy","establishment,food,point_of_interest","OK",155
"157",-34.986051,-71.2527754,"route","Chile, Curicó, VII Región, Chile","route","OK",156
"158",45.8908744,12.3032717,"establishment","Via Antonio Carpenè, 1, 31015 Conegliano TV, Italy","establishment,food,point_of_interest","OK",157
"159",-33.3707204,-70.7123907,"route","Limarí, Quilicura, Región Metropolitana, Chile","route","OK",158
"160",-33.5492473,-71.593406,"route","Colchagua, Cartagena, Región de Valparaíso, Chile","route","OK",159
"161",43.5912356,3.2583626,"colloquial_area","Languedoc-Roussillon, France","colloquial_area,political","OK",160
"162",43.393751,6.040819,"establishment","Place du General de Gaulle, 83170 La Celle en Provence, France","establishment,point_of_interest","OK",161
