"","V1","V1","ST","Freq"
"1","1","1","valley",37954
"2","2","2","california",29400
"3","3","3","compact",26512
"4","4","4","flavor",22361
"5","5","5","fruit",19232
"6","6","6","franc",15445
"7","7","7","vineyard",13793
"8","8","8","pinot",13021
"9","9","9","sauvignon",12966
"10","10","10","finish",12551
"11","11","11","blend",12482
"12","12","12","aroma",12033
"13","13","13","cabernet",11975
"14","14","14","acid",11927
"15","15","15","palat",11747
"16","16","16","itali",11525
"17","17","17","cherri",10659
"18","18","18","drink",10489
"19","19","19","tannin",10145
"20","20","20","noir",9996
"21","21","21","black",9366
"22","22","22","chardonnay",8833
"23","23","23","ripe",8755
"24","24","24","napa",8280
"25","25","25","columbia",7999
"26","26","26","note",7765
"27","27","27","sonoma",7690
"28","28","28","bordeaux",7648
"29","29","29","spice",7127
"30","30","30","washington",7115
"31","31","31","coast",7076
"32","32","32","rich",6993
"33","33","33","roger",6864
"34","34","34","voss",6812
"35","35","35","vossrog",6805
"36","36","36","fresh",6654
"37","37","37","white",6651
"38","38","38","blanc",6450
"39","39","39","central",6219
"40","40","40","show",5781
"41","41","41","estat",5735
"42","42","42","berri",5570
"43","43","43","nose",5347
"44","44","44","light",5274
"45","45","45","2014",5230
"46","46","46","sweet",5221
"47","47","47","syrah",5195
"48","48","48","2013",5193
"49","49","49","oregon",5161
"50","50","50","2012",5073
"51","51","51","santa",5073
"52","52","52","counti",5028
"53","53","53","full",4979
"54","54","54","style",4972
"55","55","55","plum",4931
"56","56","56","hill",4902
"57","57","57","textur",4897
"58","58","58","blackberri",4819
"59","59","59","bodi",4808
"60","60","60","balanc",4774
"61","61","61","offer",4764
"62","62","62","mendoza",4728
"63","63","63","appl",4621
"64","64","64","soft",4550
"65","65","65","riesl",4402
"66","66","66","merlot",4392
"67","67","67","michael",4288
"68","68","68","château",4231
"69","69","69","well",4227
"70","70","70","schachner",4148
"71","71","71","wineschach",4148
"72","72","72","crisp",4073
"73","73","73","rosé",4068
"74","74","74","river",3967
"75","75","75","2011",3933
"76","76","76","2010",3921
"77","77","77","cellar",3895
"78","78","78","reserv",3892
"79","79","79","dark",3885
"80","80","80","alsac",3880
"81","81","81","structur",3878
"82","82","82","spain",3851
"83","83","83","willamett",3730
"84","84","84","paul",3696
"85","85","85","fruiti",3638
"86","86","86","tuscani",3590
"87","87","87","portug",3562
"88","88","88","raspberri",3533
"89","89","89","2015",3495
"90","90","90","herb",3467
"91","91","91","citrus",3451
"92","92","92","vanilla",3433
"93","93","93","hint",3424
"94","94","94","gregutt",3384
"95","95","95","paulgwine ",3384
"96","96","96","bright",3354
"97","97","97","give",3349
"98","98","98","pepper",3343
"99","99","99","lake",3316
"100","100","100","miner",3309
"101","101","101","virgini",3307
"102","102","102","boon",3305
"103","103","103","vboon",3305
"104","104","104","russian",3300
"105","105","105","australia",3273
"106","106","106","mountain",3247
"107","107","107","green",3237
"108","108","108","chile",3216
"109","109","109","champagn",3176
"110","110","110","year",3159
"111","111","111","touch",3152
"112","112","112","firm",3141
"113","113","113","lemon",3141
"114","114","114","2009",3129
"115","115","115","gordon",3100
"116","116","116","long",3061
"117","117","117","domain",3030
"118","118","118","good",3015
"119","119","119","peach",2975
"120","120","120","juici",2958
"121","121","121","like",2920
"122","122","122","concentr",2874
"123","123","123","walla",2857
"124","124","124","bottl",2856
"125","125","125","chocol",2833
"126","126","126","currant",2822
"127","127","127","kerin",2822
"128","128","128","kerinokeef",2822
"129","129","129","o’keef",2822
"130","130","130","malbec",2811
"131","131","131","pear",2786
"132","132","132","complex",2720
"133","133","133","feel",2663
"134","134","134","robl",2661
"135","135","135","will",2615
"136","136","136","toast",2609
"137","137","137","paso",2598
"138","138","138","fine",2571
"139","139","139","south",2542
"140","140","140","argentina",2521
"141","141","141","eleg",2455
"142","142","142","come",2430
"143","143","143","smooth",2403
"144","144","144","charact",2399
"145","145","145","zinfandel",2383
"146","146","146","brut",2361
"147","147","147","côtes",2360
"148","148","148","spici",2352
"149","149","149","made",2350
"150","150","150","open",2323
"151","151","151","finger",2317
"152","152","152","2008",2316
"153","153","153","tart",2280
"154","154","154","tast",2275
"155","155","155","make",2259
"156","156","156","provinc",2259
"157","157","157","medium",2249
"158","158","158","creek",2218
"159","159","159","burgundi",2207
"160","160","160","matt",2179
"161","161","161","kettmann",2166
"162","162","162","mattkettmann",2166
"163","163","163","reserva",2163
"164","164","164","york",2160
"165","165","165","2007",2156
"166","166","166","piedmont",2133
"167","167","167","lead",2071
"168","168","168","petit",2069
"169","169","169","provenc",2066
"170","170","170","lime",2049
"171","171","171","wood",2046
"172","172","172","tight",2039
"173","173","173","just",2038
"174","174","174","round",2032
"175","175","175","orang",2010
"176","176","176","intens",2004
"177","177","177","herbal",1983
"178","178","178","mouth",1978
"179","179","179","sangioves",1962
"180","180","180","tannic",1960
"181","181","181","austria",1915
"182","182","182","slight",1899
"183","183","183","also",1888
"184","184","184","bake",1879
"185","185","185","grape",1870
"186","186","186","layer",1855
"187","187","187","creami",1847
"188","188","188","still",1839
"189","189","189","clean",1835
"190","190","190","delici",1833
"191","191","191","sean",1817
"192","192","192","licoric",1801
"193","193","193","sullivan",1799
"194","194","194","wawinereport",1792
"195","195","195","power",1780
"196","196","196","vintag",1778
"197","197","197","2006",1750
"198","198","198","sparkl",1730
"199","199","199","grand",1729
"200","200","200","earthi",1727
"201","201","201","dens",1726
"202","202","202","barrel",1682
"203","203","203","honey",1670
"204","204","204","color",1659
"205","205","205","along",1655
"206","206","206","czerwinski",1650
"207","207","207","joecz",1650
"208","208","208","2016",1643
"209","209","209","savori",1633
"210","210","210","leather",1614
"211","211","211","flower",1611
"212","212","212","rhône",1610
"213","213","213","strawberri",1609
"214","214","214","cuvé",1608
"215","215","215","anna",1600
"216","216","216","germani",1580
"217","217","217","tobacco",1575
"218","218","218","great",1560
"219","219","219","nice",1550
"220","220","220","readi",1547
"221","221","221","iijima",1546
"222","222","222","montalcino",1526
"223","223","223","cassi",1522
"224","224","224","classico",1517
"225","225","225","barolo",1506
"226","226","226","high",1503
"227","227","227","easi",1482
"228","228","228","time",1476
"229","229","229","alongsid",1474
"230","230","230","vine",1469
"231","231","231","young",1458
"232","232","232","smoki",1457
"233","233","233","north",1452
"234","234","234","saint",1451
"235","235","235","famili",1433
"236","236","236","grenach",1429
"237","237","237","accent",1428
"238","238","238","wineri",1420
"239","239","239","mouthfeel",1418
"240","240","240","grown",1415
"241","241","241","stone",1412
"242","242","242","veneto",1405
"243","243","243","coffe",1386
"244","244","244","linger",1381
"245","245","245","refresh",1372
"246","246","246","live",1360
"247","247","247","cola",1349
"248","248","248","smoke",1343
"249","249","249","wild",1343
"250","250","250","pineappl",1340
"251","251","251","scent",1339
"252","252","252","chianti",1337
"253","253","253","toscana",1329
"254","254","254","produc",1327
"255","255","255","deliv",1324
"256","256","256","douro",1318
"257","257","257","brunello",1316
"258","258","258","carnero",1312
"259","259","259","barbara",1300
"260","260","260","grapefruit",1299
"261","261","261","apricot",1295
"262","262","262","clove",1288
"263","263","263","littl",1288
"264","264","264","melon",1282
"265","265","265","tone",1280
"266","266","266","suggest",1279
"267","267","267","floral",1270
"268","268","268","seem",1257
"269","269","269","gris",1253
"270","270","270","mosel",1250
"271","271","271","almost",1246
"272","272","272","tropic",1241
"273","273","273","bring",1239
"274","274","274","earth",1232
"275","275","275","select",1231
"276","276","276","strong",1217
"277","277","277","viognier",1209
"278","278","278","yellow",1209
"279","279","279","attract",1197
"280","280","280","best",1189
"281","281","281","core",1189
"282","282","282","portugues",1187
"283","283","283","anneinvino",1182
"284","284","284","krebiehl mw",1182
"285","285","285","need",1178
"286","286","286","generous",1177
"287","287","287","solid",1175
"288","288","288","alcohol",1173
"289","289","289","virginia",1169
"290","290","290","bitter",1167
"291","291","291","southern",1166
"292","292","292","cranberri",1164
"293","293","293","2005",1157
"294","294","294","candi",1157
"295","295","295","rita",1145
"296","296","296","follow",1144
"297","297","297","aromat",1139
"298","298","298","blueberri",1133
"299","299","299","cinnamon",1127
"300","300","300","quit",1127
"301","301","301","perfum",1125
"302","302","302","quinta",1116
"303","303","303","plenti",1115
"304","304","304","yakima",1112
"305","305","305","enjoy",1111
"306","306","306","sierra",1111
"307","307","307","ranch",1104
"308","308","308","toasti",1090
"309","309","309","loir",1087
"310","310","310","weight",1082
"311","311","311","domin",1081
"312","312","312","cedar",1080
"313","313","313","riserva",1077
"314","314","314","ridg",1067
"315","315","315","simpl",1061
"316","316","316","nebbiolo",1055
"317","317","317","island",1043
"318","318","318","provid",1042
"319","319","319","alexand",1037
"320","320","320","highland",1037
"321","321","321","rose",1032
"322","322","322","pretti",1031
"323","323","323","foothil",1027
"324","324","324","crush",1016
"325","325","325","delic",1016
"326","326","326","caramel",1015
"327","327","327","zealand",1015
"328","328","328","mendocino",999
"329","329","329","skin",997
"330","330","330","develop",996
"331","331","331","2018",990
"332","332","332","impress",984
"333","333","333","silki",977
"334","334","334","tempranillo",975
"335","335","335","glass",971
"336","336","336","matur",968
"337","337","337","maria",962
